Rank,Player,Age,Team,Pos,GP,Gls,Assists,PTS,PlusMinus,PIM,PS,EvenStrengthGoals,PowerPlayGoals,SHG,GWG,EVA,PPA,SHA,ShotsOnGoal,ShootingPercentage,TOI,ATOI,BLK,Hits,FOW,FOL,FOPercentage
1,Auston Matthews,24,TOR,C,70,58,44,102,17,16,13.3,43,15,0,9,31,13,0,330,17.6,1438,NA,58,63,662,508,56.6
2,Leon Draisaitl,26,EDM,C,75,54,51,105,19,40,13.1,30,23,1,11,35,16,0,261,20.7,1683,NA,25,46,839,726,53.6
3,Chris Kreider,30,NYR,LW,76,50,22,72,20,24,10.3,22,25,3,10,14,8,0,239,20.9,1421,NA,38,138,63,64,49.6
4,Alex Ovechkin,36,WSH,LW,74,48,39,87,6,18,11,31,16,1,5,26,13,0,321,15,1534,NA,24,150,4,9,30.8
5,Kirill Kaprizov,24,MIN,LW,74,43,50,93,23,30,11.1,31,12,0,4,37,13,0,266,16.2,1405,NA,26,70,5,4,55.6
6,Kyle Connor,25,WPG,LW,73,43,44,87,-3,4,9.7,32,8,3,8,26,18,0,297,14.5,1595,NA,20,31,1,5,16.7
7,Connor McDavid,25,EDM,C,75,42,68,110,23,43,12.6,33,9,0,9,35,32,1,302,13.9,1664,NA,25,71,526,451,53.8
8,Matthew Tkachuk,24,CGY,LW,76,39,59,98,54,60,12.9,28,11,0,6,43,16,0,242,16.1,1350,NA,17,81,19,20,48.7
9,Elias Lindholm,27,CGY,C,76,39,39,78,57,16,10.8,29,9,1,8,29,9,1,217,18,1508,NA,48,56,787,694,53.1
10,Matt Duchene,31,NSH,C,72,39,38,77,3,28,8.9,24,15,0,6,28,10,0,210,18.6,1362,NA,27,23,113,96,54.1
11,Alex DeBrincat,24,CHI,RW,76,39,34,73,-13,19,8,25,14,0,5,21,13,0,248,15.7,1578,NA,32,96,21,35,37.5
12,Johnny Gaudreau,28,CGY,LW,76,38,69,107,61,26,13.9,32,6,0,9,53,16,0,244,15.6,1396,NA,7,10,1,0,100
13,Filip Forsberg,27,NSH,C,63,38,37,75,9,18,9.2,31,7,0,8,23,14,0,203,18.7,1132,NA,44,103,1,0,100
14,David Pastrnak,25,BOS,RW,69,38,33,71,10,20,8.9,24,14,0,9,23,10,0,304,12.5,1283,NA,12,63,6,13,31.6
15,Jake Guentzel,27,PIT,C,71,37,41,78,9,42,9,30,7,0,6,27,14,0,248,14.9,1426,NA,36,67,13,12,52
16,Mikko Rantanen,25,COL,RW,73,36,55,91,38,56,10.6,20,16,0,2,36,19,0,248,14.5,1527,NA,42,57,162,187,46.4
17,Sebastian Aho,24,CAR,F,74,36,41,77,16,38,9.1,22,13,1,8,26,13,2,209,17.2,1406,NA,22,73,519,477,52.1
18,Jason Robertson,22,DAL,LW,68,36,34,70,14,22,8.9,25,11,0,10,27,7,0,198,18.2,1231,NA,24,47,0,0,NA
19,Troy Terry,24,ANA,C,70,36,27,63,-4,26,7.6,28,8,0,7,21,6,0,176,20.5,1266,NA,25,5,1,8,11.1
20,Tage Thompson,24,BUF,C,74,36,27,63,-20,37,7.1,24,10,2,4,21,6,0,241,14.9,1319,NA,25,64,382,560,40.6
